Source IP,Destination IP,Protocol,Count,Percentage
157.240.192.55,192.168.69.197,TCP,29,100.0
173.230.134.104,192.168.69.197,TCP,3,100.0
192.168.69.197,13.68.233.9,TCP,1,100.0
192.168.69.197,157.240.192.55,TCP,21,100.0
192.168.69.197,173.230.134.104,TCP,6,100.0
192.168.69.197,192.168.69.206,UDP,177,100.0
192.168.69.197,20.191.127.184,TCP,2,100.0
192.168.69.197,20.44.229.112,TCP,3,100.0
192.168.69.197,23.200.238.155,TCP,2,100.0
192.168.69.197,239.255.255.250,UDP,4,100.0
192.168.69.197,43.175.154.11,TCP,6,100.0
192.168.69.197,52.156.123.84,TCP,13,100.0
192.168.69.206,192.168.69.197,UDP,146,100.0
20.191.127.184,192.168.69.197,TCP,1,100.0
20.44.229.112,192.168.69.197,TCP,1,100.0
23.200.238.155,192.168.69.197,TCP,1,100.0
43.175.154.11,192.168.69.197,TCP,6,100.0
52.156.123.84,192.168.69.197,TCP,9,100.0
